DATE,TRK,GRD,DIST,POINTS (LEADERS),RACE (CHART),REPLAY,WINNER,BSF,TFUS,TIME,MRGN,ODDS,JOCKEY,TRAINER,SIRE,BR-SIRE,PLACED,,,
2/19/18,OP,G3,8,10-4-2-1 (PDF),Southwest Stakes (PDF),Video,My Boy Jack,93,117,01:46.0,4 1/2,8.8,Kent Desormeaux,Keith Desormeaux,Creative Cause,Mineshaft,"Combatant, Sporting Chance, Mourinho",,,
3/3/18,GP,G2,8.5,50-20-10-5 (PDF),Fountain of Youth (PDF),Video,Promises Fulfilled,96,121,01:44.2,2 1/4,18.2,Irad Ortiz,Dale Romans,Shackleford,Marquetry,"Strike Power, Good Magic, Machismo",,,
3/10/18,AQU,G3,8,50-20-10-5 (PDF),Gotham Stakes (PDF),Video,Enticed,95,117,01:38.2,2 3/4,3.4,Junior Alvarado,Kiaran McLaughlin,Medaglia d'Oro,Mineshaft,"Old Time Revival, Free Drop Billy, Firenze Fire",,,
3/10/18,TAM,G2,8.5,50-20-10-5 (PDF),Tampa Bay Derby (PDF),Video,Quip,94,115,01:44.7,1,19.1,Florent Geroux,Rodolphe Brisset,Distorted Humor,Indian Charlie,"Flameaway, World of Trouble, Vino Rosso",,,
3/10/18,SA,G2,8.5,50-20-10-5 (PDF),San Felipe Stakes (PDF),Video,Bolt d'Oro,101,123,01:42.7,Head,1.2,Javier Castellano,Mick Ruis,Medaglia d'Oro,A.P. Indy,"McKinzie (DQ'd from 1st), Kanthaka, Peace",,,
3/17/18,TP,G3,9,20-8-4-2 (PDF),Spiral Stakes (PDF),Video,Blended Citizen,83,107,01:50.9,Neck,6.2,Kyle Frey,Doug O'Neill,Proud Citizen,Langfuhr,"Pony Up, Arawak, Zanesville",,,
3/17/18,OP,G2,8.5,50-20-10-5 (PDF),Rebel Stakes (PDF),Video,Magnum Moon,97,121,01:42.7,3 1/2,3,Luis Saez,Todd Pletcher,Malibu Moon,Unbridled's Song,"Solomini, Combatant, Title Ready",,,
3/24/18,FG,G2,9,100-40-20-10 (PDF),Louisiana Derby (PDF),Video,Noble Indy,95,118,01:50.3,Neck,2.70**,John Velazquez,Todd Pletcher,Take Charge Indy,Storm Boot,"Lone Sailor, My Boy Jack, Givemeaminit",,,
3/25/18,SUN,G3,9,50-20-10-5 (PDF),Sunland Derby (PDF),Video,Runaway Ghost,85,116,01:49.2,2 3/4,3.90**,Tracy Hebert,Todd Fincher,Ghostzapper,Desert God,"Dream Baby Dream, Peace, Seven Trumpets",,,
3/31/18,MEY,G2,9.5,100-40-20-10 (PDF),UAE Derby,Video,Mendelssohn,106,128,01:55.2,18 1/2,---,Ryan Moore,Aidan O'Brien,Scat Daddy,Tricky Creek,"Rayya, Reride, Gold Town",,,
3/31/18,GP,G1,9,100-40-20-10 (PDF),Florida Derby (PDF),Video,Audible,99,122,01:49.5,3,1.60**,John Velazquez,Todd Pletcher,Into Mischief,Gilded Time,"Hofburg, Mississippi, Catholic Boy",,,
